arquivo,classe_binaria,codec,ataque
LA_E_1034241,1,gsm,A15
LA_E_1034467,1,pstn,A14
LA_E_1034623,1,gsm,A10
LA_E_1034688,1,g722,A08
LA_E_1035340,1,opus,A19
LA_E_1035372,1,none,A11
LA_E_1035397,1,pstn,A11
LA_E_1035420,1,gsm,A12
LA_E_1035673,1,none,A17
LA_E_1035776,1,ulaw,A17
LA_E_1035806,1,gsm,A11
LA_E_1036080,1,none,A14
LA_E_1037150,1,opus,A07
LA_E_1037364,1,gsm,A16
LA_E_1038001,1,pstn,A07
LA_E_1038175,1,alaw,A08
LA_E_1038483,1,gsm,A19
LA_E_1038754,1,pstn,A08
LA_E_1039594,1,gsm,A07
LA_E_1039645,1,alaw,A12
LA_E_1039928,1,ulaw,A11
LA_E_1040053,1,ulaw,A10
LA_E_1040070,1,opus,A16
LA_E_1041023,1,pstn,A09
LA_E_1041460,1,ulaw,A19
LA_E_1041859,1,alaw,A13
LA_E_1042101,1,alaw,A15
LA_E_1042326,1,none,A07
LA_E_1042584,1,gsm,A18
LA_E_1042805,0,opus,bonafide
LA_E_1042860,1,ulaw,A13
LA_E_1043329,1,ulaw,A15
LA_E_1043528,1,opus,A09
LA_E_1043665,1,opus,A13
LA_E_1043772,1,opus,A17
LA_E_1043803,1,none,A15
LA_E_1044468,1,g722,A08
LA_E_1044816,1,none,A13
LA_E_1044957,1,opus,A15
LA_E_1044998,1,gsm,A15
LA_E_1045222,1,none,A12
LA_E_1045414,1,gsm,A11
LA_E_1045533,1,ulaw,A14
LA_E_1045783,1,none,A14
LA_E_1045940,1,none,A11
LA_E_1046465,1,none,A17
LA_E_1047554,1,pstn,A18
LA_E_1047823,1,g722,A16
LA_E_1047827,1,opus,A19
LA_E_1047901,1,none,A08
LA_E_1048016,1,ulaw,A17
LA_E_1048638,1,ulaw,A07
LA_E_1048746,1,gsm,A12
LA_E_1048762,1,alaw,A10
LA_E_1048965,1,ulaw,A09
LA_E_1049031,1,alaw,A18
LA_E_1049989,1,g722,A19
LA_E_1050106,1,opus,A13
LA_E_1050200,1,gsm,A11
LA_E_1051926,1,ulaw,A10
LA_E_1052008,1,g722,A18
LA_E_1052644,1,ulaw,A18
LA_E_1052835,1,none,A09
LA_E_1052933,1,g722,A12
LA_E_1054106,1,alaw,A17
LA_E_1054112,1,g722,A07
LA_E_1054198,1,pstn,A15
LA_E_1054484,1,g722,A11
LA_E_1054794,1,none,A08
LA_E_1054935,1,ulaw,A15
LA_E_1054958,1,ulaw,A18
LA_E_1056164,1,opus,A12
LA_E_1056193,1,alaw,A11
LA_E_1056268,1,gsm,A19
LA_E_1056291,1,none,A19
LA_E_1056609,1,opus,A19
LA_E_1056668,1,ulaw,A16
LA_E_1056790,1,gsm,A17
LA_E_1057066,1,ulaw,A14
LA_E_1057854,1,pstn,A13
LA_E_1058171,1,opus,A11
LA_E_1058339,1,g722,A13
LA_E_1058512,1,pstn,A07
LA_E_1058646,1,gsm,A16
LA_E_1058728,1,none,A13
LA_E_1058835,1,g722,A16
LA_E_1058898,1,opus,A16
LA_E_1058936,1,alaw,A14
LA_E_1059183,1,gsm,A07
LA_E_1059203,1,g722,A14
LA_E_1059322,1,ulaw,A08
LA_E_1060622,1,opus,A08
LA_E_1060904,1,opus,A18
LA_E_1060911,1,pstn,A08
LA_E_1061092,1,alaw,A10
LA_E_1061243,1,pstn,A07
LA_E_1061658,1,alaw,A07
LA_E_1062374,0,alaw,bonafide
LA_E_1062605,1,pstn,A19
LA_E_1063599,1,none,A16
LA_E_1063694,1,opus,A11
LA_E_1063885,1,ulaw,A11
LA_E_1064050,1,g722,A17
LA_E_1064236,1,alaw,A09
LA_E_1064381,1,alaw,A17
LA_E_1064714,1,opus,A10
LA_E_1064854,1,gsm,A14
LA_E_1064946,1,alaw,A15
LA_E_1065161,1,opus,A14
LA_E_1065554,1,none,A18
LA_E_1065665,1,none,A07
LA_E_1065686,1,none,A08
LA_E_1066250,1,alaw,A14
LA_E_1066511,1,none,A10
LA_E_1066513,1,alaw,A16
LA_E_1066827,1,none,A14
LA_E_1066924,1,gsm,A10
LA_E_1066968,1,gsm,A18
LA_E_1067475,1,pstn,A18
LA_E_1067578,1,gsm,A13
LA_E_1067929,1,g722,A15
LA_E_1068122,1,ulaw,A13
LA_E_1068308,1,pstn,A09
LA_E_1069528,1,gsm,A09
LA_E_1069942,1,opus,A15
LA_E_1070317,1,pstn,A13
LA_E_1070576,1,opus,A10
LA_E_1071071,0,pstn,bonafide
LA_E_1071143,1,opus,A16
LA_E_1071230,1,pstn,A18
LA_E_1071778,1,alaw,A08
LA_E_1071887,1,opus,A09
LA_E_1072378,1,none,A11
LA_E_1072836,1,ulaw,A12
LA_E_1073263,1,none,A10
LA_E_1073373,1,alaw,A18
LA_E_1073859,1,alaw,A07
LA_E_1074164,1,pstn,A11
LA_E_1074396,1,none,A18
LA_E_1075324,1,opus,A07
LA_E_1075445,1,ulaw,A16
LA_E_1075618,1,pstn,A14
LA_E_1076130,1,opus,A17
LA_E_1076229,1,pstn,A07
LA_E_1076578,1,none,A13
LA_E_1076580,1,g722,A18
LA_E_1077583,1,g722,A17
LA_E_1077691,1,ulaw,A19
LA_E_1077837,1,none,A09
LA_E_1078231,1,ulaw,A17
LA_E_1078418,0,g722,bonafide
LA_E_1079023,1,g722,A15
LA_E_1079577,1,pstn,A11
LA_E_1080057,1,opus,A07
LA_E_1080158,1,alaw,A14
LA_E_1080197,1,gsm,A10
LA_E_1080279,1,none,A19
LA_E_1080541,1,ulaw,A09
LA_E_1080547,1,none,A08
LA_E_1080674,1,g722,A10
LA_E_1080736,1,ulaw,A07
LA_E_1081150,1,none,A15
LA_E_1081666,1,pstn,A15
LA_E_1081853,1,gsm,A16
LA_E_1082450,1,g722,A09
LA_E_1082534,1,g722,A11
LA_E_1082595,1,pstn,A19
LA_E_1082627,1,pstn,A12
LA_E_1082752,1,g722,A16
LA_E_1083073,1,alaw,A19
LA_E_1083378,1,alaw,A13
LA_E_1083588,1,none,A07
LA_E_1083863,1,alaw,A12
LA_E_1084148,0,none,bonafide
LA_E_1084917,1,pstn,A10
LA_E_1085583,1,gsm,A15
LA_E_1085620,1,opus,A08
LA_E_1085641,1,ulaw,A16
LA_E_1085679,1,gsm,A08
LA_E_1085772,1,pstn,A14
LA_E_1085807,1,alaw,A11
LA_E_1086050,1,ulaw,A08
LA_E_1087293,1,alaw,A07
LA_E_1087435,1,opus,A14
LA_E_1087909,1,alaw,A16
LA_E_1087936,1,ulaw,A10
LA_E_1088147,1,g722,A12
LA_E_1088922,1,opus,A09
LA_E_1089116,1,ulaw,A15
LA_E_1089138,1,alaw,A12
LA_E_1089699,1,g722,A14
LA_E_1089831,1,alaw,A10
LA_E_1090073,1,opus,A15
LA_E_1090086,0,opus,bonafide
LA_E_1090196,1,opus,A11
LA_E_1090591,1,gsm,A18
LA_E_1090709,1,alaw,A09
LA_E_1090802,1,g722,A19
LA_E_1091260,1,pstn,A18
LA_E_1091855,1,pstn,A15
LA_E_1091903,1,pstn,A12
LA_E_1092001,1,ulaw,A09
LA_E_1092655,1,ulaw,A11
LA_E_1093338,1,opus,A12
LA_E_1093757,1,gsm,A19
LA_E_1094700,1,opus,A18
LA_E_1094981,1,ulaw,A07
LA_E_1095581,1,pstn,A17
LA_E_1096089,1,ulaw,A17
LA_E_1096526,1,gsm,A09
LA_E_1096558,1,none,A16
LA_E_1096806,1,gsm,A15
LA_E_1097023,1,gsm,A18
LA_E_1098033,1,pstn,A11
LA_E_1098099,1,opus,A17
LA_E_1098161,1,none,A07
LA_E_1098580,1,g722,A14
LA_E_1098671,1,alaw,A13
LA_E_1098679,1,gsm,A07
LA_E_1098828,1,g722,A08
LA_E_1098943,1,opus,A08
LA_E_1099888,1,ulaw,A10
LA_E_1100041,1,g722,A09
LA_E_1100352,1,opus,A19
LA_E_1100487,0,ulaw,bonafide
LA_E_1101369,1,pstn,A08
LA_E_1101639,1,alaw,A16
LA_E_1102140,1,alaw,A08
LA_E_1102239,1,pstn,A19
LA_E_1102915,1,g722,A11
LA_E_1103044,1,pstn,A13
LA_E_1103333,1,g722,A18
LA_E_1103751,1,g722,A07
LA_E_1104788,1,ulaw,A17
LA_E_1105342,1,gsm,A08
LA_E_1105519,1,ulaw,A14
LA_E_1105843,1,pstn,A16
LA_E_1105952,1,none,A10
LA_E_1106224,1,gsm,A12
LA_E_1106629,1,alaw,A12
LA_E_1107638,1,none,A12
LA_E_1107788,1,ulaw,A19
LA_E_1108811,1,pstn,A10
LA_E_1109456,1,alaw,A11
LA_E_1110332,1,pstn,A14
LA_E_1110442,1,gsm,A13
LA_E_1110826,1,g722,A15
LA_E_1111340,1,opus,A13
LA_E_1111640,1,gsm,A08
LA_E_1112200,1,g722,A13
LA_E_1112955,1,gsm,A07
LA_E_1112976,1,pstn,A12
LA_E_1113301,1,gsm,A17
LA_E_1113878,0,opus,bonafide
LA_E_1113889,1,none,A17
LA_E_1114467,1,gsm,A11
LA_E_1114496,1,alaw,A18
LA_E_1114805,1,opus,A11
LA_E_1115281,1,g722,A13
LA_E_1116068,1,gsm,A09
LA_E_1116387,1,gsm,A19
LA_E_1117155,1,g722,A17
LA_E_1117722,1,none,A16
LA_E_1118777,1,ulaw,A12
LA_E_1119516,1,gsm,A14
LA_E_1120089,1,g722,A12
LA_E_1120400,0,opus,bonafide
LA_E_1120646,1,g722,A19
LA_E_1120735,1,gsm,A14
LA_E_1120860,1,gsm,A11
LA_E_1121305,1,alaw,A19
LA_E_1122308,1,opus,A13
LA_E_1123419,1,opus,A16
LA_E_1124570,1,opus,A12
LA_E_1124904,1,alaw,A09
LA_E_1125780,1,opus,A11
LA_E_1126267,0,opus,bonafide
LA_E_1127015,1,g722,A09
LA_E_1127346,1,gsm,A17
LA_E_1128871,1,none,A17
LA_E_1129061,0,alaw,bonafide
LA_E_1129758,1,pstn,A17
LA_E_1130454,1,g722,A11
LA_E_1130756,1,ulaw,A08
LA_E_1131247,1,alaw,A16
LA_E_1132206,1,opus,A16
LA_E_1132456,1,g722,A13
LA_E_1133070,0,gsm,bonafide
LA_E_1135357,1,none,A15
LA_E_1136791,1,alaw,A19
LA_E_1136879,1,opus,A09
LA_E_1138231,1,gsm,A13
LA_E_1138348,1,ulaw,A19
LA_E_1138577,1,none,A18
LA_E_1139009,1,ulaw,A16
LA_E_1139260,1,opus,A10
LA_E_1140022,1,ulaw,A07
LA_E_1140516,1,pstn,A17
LA_E_1140737,1,none,A17
LA_E_1141230,1,gsm,A10
LA_E_1142085,0,ulaw,bonafide
LA_E_1144528,1,g722,A10
LA_E_1144869,0,alaw,bonafide
LA_E_1146263,1,gsm,A10
LA_E_1146814,1,ulaw,A18
LA_E_1146964,1,ulaw,A12
LA_E_1147409,1,alaw,A09
LA_E_1147667,0,pstn,bonafide
LA_E_1148285,1,gsm,A09
LA_E_1149488,1,gsm,A18
LA_E_1152523,1,pstn,A09
LA_E_1152977,1,ulaw,A07
LA_E_1153048,1,opus,A09
LA_E_1154768,1,ulaw,A13
LA_E_1158108,1,gsm,A18
LA_E_1158164,1,ulaw,A16
LA_E_1158207,0,alaw,bonafide
LA_E_1159189,1,pstn,A10
LA_E_1159240,1,ulaw,A11
LA_E_1159904,1,gsm,A11
LA_E_1160893,1,opus,A18
LA_E_1160939,1,gsm,A12
LA_E_1161145,1,none,A13
LA_E_1161415,1,pstn,A17
LA_E_1161836,1,gsm,A16
LA_E_1163127,1,ulaw,A14
LA_E_1164329,1,none,A19
LA_E_1164658,1,opus,A17
LA_E_1165054,1,gsm,A09
LA_E_1165449,1,pstn,A16
LA_E_1165969,0,gsm,bonafide
LA_E_1166262,1,opus,A08
LA_E_1167011,0,ulaw,bonafide
LA_E_1167172,0,ulaw,bonafide
LA_E_1168285,0,alaw,bonafide
LA_E_1168319,1,gsm,A11
LA_E_1168641,1,gsm,A12
LA_E_1169362,1,ulaw,A18
LA_E_1169388,0,pstn,bonafide
LA_E_1169618,1,opus,A15
LA_E_1169997,0,ulaw,bonafide
LA_E_1170514,1,opus,A07
LA_E_1171115,1,opus,A10
LA_E_1171483,1,none,A14
LA_E_1171789,0,pstn,bonafide
LA_E_1171934,1,g722,A10
LA_E_1172035,1,opus,A14
LA_E_1172437,0,gsm,bonafide
LA_E_1172714,1,none,A17
LA_E_1173103,1,opus,A19
LA_E_1173260,1,pstn,A09
LA_E_1174381,0,gsm,bonafide
LA_E_1175184,1,none,A17
LA_E_1176316,1,opus,A15
LA_E_1176358,1,ulaw,A13
LA_E_1176849,1,ulaw,A16
LA_E_1177037,1,pstn,A12
LA_E_1177169,1,opus,A17
LA_E_1177215,1,ulaw,A17
LA_E_1177969,1,none,A17
LA_E_1179567,1,pstn,A07
LA_E_1179789,1,alaw,A13
LA_E_1180771,1,alaw,A18
LA_E_1181285,1,ulaw,A14
LA_E_1181476,1,none,A12
LA_E_1181987,1,opus,A07
LA_E_1183663,1,ulaw,A12
LA_E_1183955,1,gsm,A08
LA_E_1184165,1,pstn,A07
LA_E_1184504,1,opus,A11
LA_E_1184559,1,ulaw,A08
LA_E_1184714,0,pstn,bonafide
LA_E_1185346,1,gsm,A16
LA_E_1185653,1,opus,A14
LA_E_1185831,1,none,A19
LA_E_1186218,1,opus,A19
LA_E_1188809,1,none,A15
LA_E_1188812,1,opus,A16
LA_E_1189222,1,none,A09
LA_E_1189295,1,alaw,A13
LA_E_1189305,1,opus,A19
LA_E_1189312,1,gsm,A10
LA_E_1189742,1,ulaw,A13
LA_E_1189877,1,opus,A16
LA_E_1190629,1,ulaw,A13
LA_E_1190641,1,ulaw,A15
LA_E_1191735,1,alaw,A15
LA_E_1191832,1,opus,A11
LA_E_1192160,1,gsm,A15
LA_E_1192545,1,alaw,A08
LA_E_1193390,0,none,bonafide
LA_E_1193576,1,ulaw,A17
LA_E_1193605,1,ulaw,A08
LA_E_1193709,1,gsm,A15
LA_E_1193758,1,none,A14
LA_E_1193785,1,ulaw,A09
LA_E_1194544,1,opus,A13
LA_E_1195896,0,gsm,bonafide
LA_E_1196622,1,ulaw,A12
LA_E_1196893,1,alaw,A08
LA_E_1196952,1,g722,A11
LA_E_1197177,1,pstn,A15
LA_E_1198407,1,pstn,A12
LA_E_1198908,1,gsm,A17
LA_E_1199438,1,gsm,A18
LA_E_1199985,1,ulaw,A15
LA_E_1200357,1,gsm,A18
LA_E_1200528,1,ulaw,A10
LA_E_1200932,1,ulaw,A18
LA_E_1201838,1,opus,A08
LA_E_1202111,1,none,A13
LA_E_1202242,1,alaw,A15
LA_E_1202634,1,none,A15
LA_E_1202666,1,opus,A17
LA_E_1202744,1,gsm,A10
LA_E_1202776,1,gsm,A08
LA_E_1203689,1,pstn,A11
LA_E_1203791,0,opus,bonafide
LA_E_1203860,1,ulaw,A09
LA_E_1204263,1,pstn,A07
LA_E_1204314,1,none,A14
LA_E_1205438,1,gsm,A11
LA_E_1206419,1,pstn,A14
LA_E_1207138,1,ulaw,A10
LA_E_1207199,1,pstn,A07
LA_E_1208174,1,alaw,A11
LA_E_1208414,1,gsm,A08
LA_E_1208542,1,pstn,A14
LA_E_1208683,1,none,A14
LA_E_1208766,1,opus,A13
LA_E_1209571,1,pstn,A15
LA_E_1210144,1,gsm,A16
LA_E_1210186,0,opus,bonafide
LA_E_1210283,1,opus,A08
LA_E_1210598,1,gsm,A09
LA_E_1210860,1,pstn,A07
LA_E_1210876,1,alaw,A17
LA_E_1212730,1,gsm,A13
LA_E_1214797,1,gsm,A19
LA_E_1214888,1,none,A12
LA_E_1215246,1,opus,A17
LA_E_1215628,1,pstn,A09
LA_E_1215707,1,ulaw,A17
LA_E_1215711,1,opus,A14
LA_E_1216102,1,opus,A08
LA_E_1217175,1,opus,A17
LA_E_1217472,1,alaw,A11
LA_E_1217531,1,alaw,A13
LA_E_1217711,1,pstn,A16
LA_E_1217905,1,ulaw,A18
LA_E_1218395,1,alaw,A12
LA_E_1218769,1,alaw,A18
LA_E_1218939,1,ulaw,A15
LA_E_1220198,1,none,A17
LA_E_1220906,1,gsm,A16
LA_E_1220964,1,none,A08
LA_E_1221261,0,g722,bonafide
LA_E_1221338,1,ulaw,A15
LA_E_1221507,1,opus,A10
LA_E_1221640,1,alaw,A17
LA_E_1221696,1,opus,A14
LA_E_1222150,1,alaw,A10
LA_E_1222185,1,gsm,A09
LA_E_1222236,1,opus,A14
LA_E_1222531,1,gsm,A14
LA_E_1222683,1,opus,A12
LA_E_1223480,1,g722,A13
LA_E_1223567,1,none,A08
LA_E_1224277,1,pstn,A11
LA_E_1224496,1,alaw,A09
LA_E_1224722,1,alaw,A12
LA_E_1225101,0,none,bonafide
LA_E_1225657,1,alaw,A07
LA_E_1225751,1,gsm,A19
LA_E_1226309,1,none,A07
LA_E_1226796,1,opus,A11
LA_E_1227117,1,alaw,A15
LA_E_1227257,1,pstn,A09
LA_E_1227312,1,opus,A11
LA_E_1227473,1,opus,A10
LA_E_1227648,1,ulaw,A19
LA_E_1228292,1,none,A09
LA_E_1228915,1,none,A13
LA_E_1229691,1,opus,A19
LA_E_1229869,0,opus,bonafide
LA_E_1230224,1,pstn,A07
LA_E_1230758,1,opus,A12
LA_E_1230777,1,alaw,A13
LA_E_1230839,1,opus,A07
LA_E_1231196,1,g722,A11
LA_E_1231715,1,ulaw,A17
LA_E_1231794,1,g722,A13
LA_E_1231901,1,pstn,A14
LA_E_1232047,1,gsm,A11
LA_E_1232287,1,gsm,A13
LA_E_1232511,1,opus,A09
LA_E_1232515,1,pstn,A15
LA_E_1233061,1,pstn,A14
LA_E_1233153,1,alaw,A11
LA_E_1233493,1,alaw,A11
LA_E_1233549,1,g722,A09
LA_E_1233583,1,none,A08
LA_E_1234371,1,pstn,A15
LA_E_1234966,1,ulaw,A19
LA_E_1235508,1,alaw,A15
LA_E_1235908,1,pstn,A16
LA_E_1235953,1,none,A13
LA_E_1235955,1,alaw,A15
LA_E_1236404,1,none,A13
LA_E_1236535,0,opus,bonafide
LA_E_1236684,1,gsm,A17
LA_E_1237068,1,pstn,A12
LA_E_1237259,1,gsm,A14
LA_E_1237302,1,alaw,A09
LA_E_1237700,1,pstn,A14
LA_E_1237743,1,ulaw,A12
LA_E_1238269,1,opus,A07
LA_E_1238531,1,pstn,A11
LA_E_1238963,1,pstn,A15
LA_E_1239234,1,opus,A16
LA_E_1239367,1,g722,A15
LA_E_1239523,1,pstn,A12
LA_E_1239598,1,alaw,A08
LA_E_1239982,1,pstn,A08
LA_E_1240089,1,pstn,A09
LA_E_1240265,1,alaw,A10
LA_E_1241006,1,ulaw,A12
LA_E_1241385,1,gsm,A18
LA_E_1241587,1,alaw,A07
LA_E_1242271,1,gsm,A08
LA_E_1242985,1,none,A08
LA_E_1243259,1,g722,A12
LA_E_1243301,1,opus,A09
LA_E_1243628,0,g722,bonafide
LA_E_1244244,1,alaw,A15
LA_E_1244829,1,none,A12
LA_E_1245635,0,ulaw,bonafide
LA_E_1246167,1,g722,A19
LA_E_1246513,1,gsm,A11
LA_E_1246600,0,alaw,bonafide
LA_E_1246690,1,none,A13
LA_E_1246757,1,pstn,A10
LA_E_1246942,1,gsm,A19
LA_E_1247013,1,pstn,A18
LA_E_1247301,1,none,A19
LA_E_1247499,0,ulaw,bonafide
LA_E_1247500,1,alaw,A11
LA_E_1248105,1,opus,A07
LA_E_1248414,1,pstn,A11
LA_E_1249036,1,ulaw,A16
LA_E_1249087,1,gsm,A12
LA_E_1249559,1,g722,A15
LA_E_1249680,1,ulaw,A12
LA_E_1249682,0,alaw,bonafide
LA_E_1249922,1,g722,A09
LA_E_1250101,1,g722,A07
LA_E_1251018,1,none,A19
LA_E_1251102,0,g722,bonafide
LA_E_1251201,1,g722,A17
LA_E_1251214,1,ulaw,A18
LA_E_1251646,0,pstn,bonafide
LA_E_1251672,1,g722,A07
LA_E_1252094,1,ulaw,A17
LA_E_1252251,1,pstn,A11
LA_E_1252412,1,ulaw,A13
LA_E_1252960,1,pstn,A12
LA_E_1253135,1,pstn,A15
LA_E_1253653,1,opus,A08
LA_E_1253789,1,alaw,A13
LA_E_1254063,1,gsm,A09
LA_E_1254205,1,g722,A19
LA_E_1254636,0,none,bonafide
LA_E_1254781,1,pstn,A13
LA_E_1255119,0,pstn,bonafide
LA_E_1255135,1,none,A12
LA_E_1255418,0,g722,bonafide
LA_E_1255793,1,none,A14
LA_E_1256120,1,gsm,A08
LA_E_1257049,1,g722,A14
LA_E_1257323,1,none,A19
LA_E_1258763,1,opus,A19
LA_E_1258895,1,pstn,A09
LA_E_1259003,1,g722,A08
LA_E_1259127,1,g722,A17
LA_E_1259210,1,ulaw,A10
LA_E_1259854,1,opus,A19
LA_E_1260005,1,ulaw,A09
LA_E_1260207,0,gsm,bonafide
LA_E_1260415,1,gsm,A15
LA_E_1260706,1,alaw,A13
LA_E_1261286,1,pstn,A14
LA_E_1261652,0,gsm,bonafide
LA_E_1261684,1,alaw,A18
LA_E_1261731,1,gsm,A15
LA_E_1261862,1,ulaw,A16
LA_E_1262162,1,gsm,A13
LA_E_1262307,1,none,A15
LA_E_1262379,1,g722,A16
LA_E_1262907,1,alaw,A15
LA_E_1262952,1,none,A08
LA_E_1262984,1,alaw,A18
LA_E_1264737,1,g722,A18
LA_E_1264781,1,alaw,A14
LA_E_1265062,1,alaw,A16
LA_E_1265446,1,gsm,A13
LA_E_1265990,1,opus,A15
LA_E_1266033,1,none,A19
LA_E_1266038,1,opus,A10
LA_E_1266090,1,pstn,A12
LA_E_1266144,1,none,A09
LA_E_1266150,1,ulaw,A07
LA_E_1266260,0,opus,bonafide
LA_E_1266424,1,none,A14
LA_E_1266835,1,ulaw,A09
LA_E_1266864,1,g722,A12
LA_E_1267059,1,gsm,A14
LA_E_1267339,1,opus,A15
LA_E_1267374,1,alaw,A11
LA_E_1267555,1,none,A09
LA_E_1267711,1,ulaw,A10
LA_E_1267782,1,alaw,A12
LA_E_1268089,1,gsm,A11
LA_E_1268168,1,g722,A13
LA_E_1268567,0,ulaw,bonafide
LA_E_1268715,1,none,A10
LA_E_1268796,1,none,A11
LA_E_1268948,1,opus,A18
LA_E_1269116,1,pstn,A10
LA_E_1269172,1,alaw,A09
LA_E_1269335,1,g722,A13
LA_E_1269446,1,none,A16
LA_E_1269814,1,alaw,A12
LA_E_1269904,1,opus,A16
LA_E_1270525,1,pstn,A07
LA_E_1271403,1,alaw,A10
LA_E_1271684,1,ulaw,A07
LA_E_1271719,1,none,A12
LA_E_1272242,1,g722,A11
LA_E_1272630,1,ulaw,A18
LA_E_1272647,1,pstn,A13
LA_E_1272711,1,none,A16
LA_E_1272752,1,alaw,A09
LA_E_1273033,1,none,A12
LA_E_1273069,1,g722,A08
LA_E_1273646,1,none,A09
LA_E_1273668,1,gsm,A19
LA_E_1274465,1,g722,A11
LA_E_1274481,1,gsm,A11
LA_E_1274719,1,opus,A10
LA_E_1275134,1,none,A17
LA_E_1275322,1,g722,A11
LA_E_1275727,1,g722,A13
LA_E_1276116,1,none,A15
LA_E_1277003,1,g722,A16
LA_E_1277601,1,alaw,A10
LA_E_1277748,1,gsm,A17
LA_E_1277957,1,g722,A14
LA_E_1278066,1,opus,A10
LA_E_1279344,0,ulaw,bonafide
LA_E_1279401,1,gsm,A12
LA_E_1279605,1,alaw,A12
LA_E_1279770,1,opus,A17
LA_E_1279926,1,gsm,A17
LA_E_1281175,1,none,A15
LA_E_1281535,1,gsm,A19
LA_E_1281746,1,gsm,A17
LA_E_1281808,0,opus,bonafide
LA_E_1281899,1,alaw,A07
LA_E_1282134,1,none,A07
LA_E_1282146,1,alaw,A14
LA_E_1282174,0,opus,bonafide
LA_E_1282575,1,pstn,A17
LA_E_1282753,1,alaw,A10
LA_E_1282836,1,alaw,A18
LA_E_1282994,0,pstn,bonafide
LA_E_1283138,1,pstn,A19
