arquivo,conjunto
LA_E_1005805,validacao
LA_E_1005828,treino
LA_E_1005921,treino
LA_E_1005966,treino
LA_E_1005969,treino
LA_E_1005993,treino
LA_E_1006073,treino
LA_E_1006120,treino
LA_E_1006344,validacao
LA_E_1006352,treino
LA_E_1006404,treino
LA_E_1006487,teste
LA_E_1006494,treino
LA_E_1006521,treino
LA_E_1006559,teste
LA_E_1006601,treino
LA_E_1006663,treino
LA_E_1006688,treino
LA_E_1006777,treino
LA_E_1006816,treino
LA_E_1006834,treino
LA_E_1006920,treino
LA_E_1007006,validacao
LA_E_1007081,teste
LA_E_1007090,treino
LA_E_1007153,treino
LA_E_1007270,treino
LA_E_1007351,treino
LA_E_1007383,teste
LA_E_1007537,validacao
LA_E_1007588,treino
LA_E_1007597,validacao
LA_E_1007650,treino
LA_E_1007655,treino
LA_E_1007659,treino
LA_E_1007666,teste
LA_E_1007709,treino
LA_E_1007715,teste
LA_E_1007726,treino
LA_E_1007731,treino
LA_E_1007790,treino
LA_E_1007794,treino
LA_E_1007799,treino
LA_E_1007816,treino
LA_E_1007822,treino
LA_E_1007828,validacao
LA_E_1007879,treino
LA_E_1007887,treino
LA_E_1007928,validacao
LA_E_1007943,treino
LA_E_1007958,treino
LA_E_1007967,treino
LA_E_1007969,treino
LA_E_1008159,treino
LA_E_1008202,treino
LA_E_1008283,validacao
LA_E_1008285,treino
LA_E_1008300,treino
LA_E_1008353,treino
LA_E_1008382,treino
LA_E_1008419,treino
LA_E_1008432,validacao
LA_E_1008441,treino
LA_E_1008458,treino
LA_E_1008530,treino
LA_E_1008562,treino
LA_E_1008598,treino
LA_E_1008618,treino
LA_E_1008642,validacao
LA_E_1008780,treino
LA_E_1008914,treino
LA_E_1008920,treino
LA_E_1008951,treino
LA_E_1009173,treino
LA_E_1009420,treino
LA_E_1009424,treino
LA_E_1009431,treino
LA_E_1009470,treino
LA_E_1009627,treino
LA_E_1009630,treino
LA_E_1009667,treino
LA_E_1009674,treino
LA_E_1009785,teste
LA_E_1009935,treino
LA_E_1009974,treino
LA_E_1009980,validacao
LA_E_1009994,validacao
LA_E_1010069,treino
LA_E_1010070,treino
LA_E_1010072,treino
LA_E_1010169,treino
LA_E_1010200,treino
LA_E_1010275,treino
LA_E_1010307,treino
LA_E_1010450,treino
LA_E_1010473,treino
LA_E_1010485,validacao
LA_E_1010513,treino
LA_E_1010526,treino
LA_E_1010553,treino
LA_E_1010695,validacao
LA_E_1010832,validacao
LA_E_1010878,treino
LA_E_1010987,treino
LA_E_1011071,teste
LA_E_1011085,treino
LA_E_1011092,treino
LA_E_1011113,teste
LA_E_1011126,treino
LA_E_1011196,treino
LA_E_1011202,treino
LA_E_1011206,treino
LA_E_1011275,treino
LA_E_1011417,treino
LA_E_1011419,validacao
LA_E_1011565,treino
LA_E_1011662,treino
LA_E_1011791,treino
LA_E_1011935,teste
LA_E_1012061,validacao
LA_E_1012154,treino
LA_E_1012170,treino
LA_E_1012246,treino
LA_E_1012272,treino
LA_E_1012305,treino
LA_E_1012415,teste
LA_E_1012430,treino
LA_E_1012463,teste
LA_E_1012471,validacao
LA_E_1012584,teste
LA_E_1012668,treino
LA_E_1012689,treino
LA_E_1012775,treino
LA_E_1012803,treino
LA_E_1012837,validacao
LA_E_1012973,treino
LA_E_1012995,teste
LA_E_1013114,validacao
LA_E_1013163,teste
LA_E_1013357,treino
LA_E_1013415,teste
LA_E_1013469,treino
LA_E_1013500,treino
LA_E_1013559,treino
LA_E_1013637,treino
LA_E_1013669,treino
LA_E_1013717,teste
LA_E_1013742,treino
LA_E_1013754,treino
LA_E_1013759,validacao
LA_E_1013825,treino
LA_E_1013933,validacao
LA_E_1013966,teste
LA_E_1013975,teste
LA_E_1014071,treino
LA_E_1014133,treino
LA_E_1014221,treino
LA_E_1014280,treino
LA_E_1014342,validacao
LA_E_1014428,teste
LA_E_1014509,treino
LA_E_1014588,teste
LA_E_1014760,treino
LA_E_1014788,treino
LA_E_1014837,treino
LA_E_1014901,treino
LA_E_1014925,treino
LA_E_1014942,validacao
LA_E_1014946,treino
LA_E_1014958,validacao
LA_E_1015001,treino
LA_E_1015008,teste
LA_E_1015053,validacao
LA_E_1015058,treino
LA_E_1015064,treino
LA_E_1015065,teste
LA_E_1015073,treino
LA_E_1015089,treino
LA_E_1015187,validacao
LA_E_1015225,teste
LA_E_1015330,teste
LA_E_1015470,treino
LA_E_1015549,treino
LA_E_1015585,treino
LA_E_1015732,teste
LA_E_1015750,treino
LA_E_1015815,treino
LA_E_1015856,treino
LA_E_1015873,validacao
LA_E_1015937,treino
LA_E_1015951,treino
LA_E_1015974,treino
LA_E_1016011,validacao
LA_E_1016031,validacao
LA_E_1016035,treino
LA_E_1016085,treino
LA_E_1016136,treino
LA_E_1016141,treino
LA_E_1016152,treino
LA_E_1016231,treino
LA_E_1016240,validacao
LA_E_1016267,validacao
LA_E_1016273,treino
LA_E_1016303,teste
LA_E_1016394,teste
LA_E_1016427,treino
LA_E_1016611,treino
LA_E_1016622,teste
LA_E_1016720,treino
LA_E_1016879,treino
LA_E_1016890,validacao
LA_E_1016913,treino
LA_E_1016933,treino
LA_E_1016955,treino
LA_E_1017023,teste
LA_E_1017102,teste
LA_E_1017127,treino
LA_E_1017167,validacao
LA_E_1017221,treino
LA_E_1017236,treino
LA_E_1017300,treino
LA_E_1017373,treino
LA_E_1017380,teste
LA_E_1017381,treino
LA_E_1017441,treino
LA_E_1017503,treino
LA_E_1017506,treino
LA_E_1017599,treino
LA_E_1017621,treino
LA_E_1017648,validacao
LA_E_1017688,validacao
LA_E_1017774,teste
LA_E_1017888,teste
LA_E_1017890,validacao
LA_E_1017924,treino
LA_E_1018008,treino
LA_E_1018027,teste
LA_E_1018206,treino
LA_E_1018222,treino
LA_E_1018264,treino
LA_E_1018285,treino
LA_E_1018309,teste
LA_E_1018319,treino
LA_E_1018401,validacao
LA_E_1018409,teste
LA_E_1018478,treino
LA_E_1018498,validacao
LA_E_1018515,treino
LA_E_1018583,treino
LA_E_1018744,teste
LA_E_1018792,treino
LA_E_1018806,treino
LA_E_1018837,teste
LA_E_1018924,treino
LA_E_1019007,validacao
LA_E_1019031,treino
LA_E_1019069,treino
LA_E_1019124,treino
LA_E_1019167,treino
LA_E_1019173,teste
LA_E_1019469,validacao
LA_E_1019503,treino
LA_E_1019554,treino
LA_E_1019682,treino
LA_E_1019687,treino
LA_E_1019703,teste
LA_E_1019773,treino
LA_E_1019801,validacao
LA_E_1019856,treino
LA_E_1019866,teste
LA_E_1020019,teste
LA_E_1020073,treino
LA_E_1020123,treino
LA_E_1020135,treino
LA_E_1020213,teste
LA_E_1020265,treino
LA_E_1020284,treino
LA_E_1020380,teste
LA_E_1020391,teste
LA_E_1020395,treino
LA_E_1020421,treino
LA_E_1020478,teste
LA_E_1020536,validacao
LA_E_1020564,treino
LA_E_1020727,teste
LA_E_1020757,validacao
LA_E_1020858,treino
LA_E_1020878,treino
LA_E_1020912,treino
LA_E_1020926,treino
LA_E_1020938,treino
LA_E_1020965,treino
LA_E_1021008,treino
LA_E_1021072,treino
LA_E_1021095,treino
LA_E_1021152,treino
LA_E_1021176,treino
LA_E_1021189,treino
LA_E_1021328,treino
LA_E_1021339,teste
LA_E_1021359,validacao
LA_E_1021406,treino
LA_E_1021488,teste
LA_E_1021536,treino
LA_E_1021552,treino
LA_E_1021567,validacao
LA_E_1021784,teste
LA_E_1021800,treino
LA_E_1021824,treino
LA_E_1021854,treino
LA_E_1021936,treino
LA_E_1022057,treino
LA_E_1022068,treino
LA_E_1022069,treino
LA_E_1022101,treino
LA_E_1022133,teste
LA_E_1022163,treino
LA_E_1022216,validacao
LA_E_1022380,treino
LA_E_1022410,treino
LA_E_1022414,treino
LA_E_1022509,treino
LA_E_1022522,treino
LA_E_1022541,treino
LA_E_1022571,treino
LA_E_1022606,treino
LA_E_1022616,treino
LA_E_1022642,validacao
LA_E_1022676,validacao
LA_E_1022692,teste
LA_E_1022713,treino
LA_E_1022847,teste
LA_E_1022857,treino
LA_E_1022888,treino
LA_E_1022945,treino
LA_E_1022966,treino
LA_E_1022979,treino
LA_E_1023160,treino
LA_E_1023202,validacao
LA_E_1023237,treino
LA_E_1023357,treino
LA_E_1023566,treino
LA_E_1023606,treino
LA_E_1023753,treino
LA_E_1023789,treino
LA_E_1023922,validacao
LA_E_1023951,teste
LA_E_1023972,treino
LA_E_1023975,treino
LA_E_1024089,treino
LA_E_1024234,treino
LA_E_1024307,treino
LA_E_1024389,treino
LA_E_1024434,treino
LA_E_1024446,treino
LA_E_1024481,treino
LA_E_1024513,treino
LA_E_1024567,treino
LA_E_1024617,treino
LA_E_1024696,treino
LA_E_1024847,treino
LA_E_1024873,treino
LA_E_1024893,treino
LA_E_1024898,validacao
LA_E_1025004,validacao
LA_E_1025031,validacao
LA_E_1025116,treino
LA_E_1025312,validacao
LA_E_1025332,treino
LA_E_1025418,treino
LA_E_1025467,treino
LA_E_1025559,treino
LA_E_1025581,treino
LA_E_1025594,treino
LA_E_1025657,treino
LA_E_1025667,treino
LA_E_1025682,treino
LA_E_1025702,treino
LA_E_1025721,treino
LA_E_1025766,treino
LA_E_1025773,teste
LA_E_1025872,treino
LA_E_1025914,teste
LA_E_1025942,treino
LA_E_1025982,validacao
LA_E_1026012,treino
LA_E_1026113,treino
LA_E_1026150,teste
LA_E_1026177,treino
LA_E_1026183,treino
LA_E_1026206,treino
LA_E_1026241,teste
LA_E_1026271,treino
LA_E_1026324,treino
LA_E_1026357,treino
LA_E_1026374,treino
LA_E_1026410,treino
LA_E_1026428,treino
LA_E_1026451,validacao
LA_E_1026477,treino
LA_E_1026512,treino
LA_E_1026519,treino
LA_E_1026618,treino
LA_E_1026668,treino
LA_E_1026748,treino
LA_E_1026771,treino
LA_E_1026801,treino
LA_E_1026817,teste
LA_E_1026853,treino
LA_E_1026886,validacao
LA_E_1026957,treino
LA_E_1027054,treino
LA_E_1027061,treino
LA_E_1027170,treino
LA_E_1027172,treino
LA_E_1027200,validacao
LA_E_1027203,treino
LA_E_1027283,treino
LA_E_1027307,treino
LA_E_1027320,teste
LA_E_1027428,treino
LA_E_1027436,treino
LA_E_1027442,treino
LA_E_1027451,treino
LA_E_1027473,treino
LA_E_1027545,treino
LA_E_1027595,teste
LA_E_1027623,treino
LA_E_1027668,teste
LA_E_1027677,teste
LA_E_1027709,teste
LA_E_1027747,treino
LA_E_1027791,treino
LA_E_1027833,validacao
LA_E_1027840,treino
LA_E_1027872,treino
LA_E_1027880,treino
LA_E_1027951,treino
LA_E_1027965,treino
LA_E_1027969,validacao
LA_E_1028042,treino
LA_E_1028080,treino
LA_E_1028148,treino
LA_E_1028164,validacao
LA_E_1028170,treino
LA_E_1028184,validacao
LA_E_1028201,treino
LA_E_1028274,validacao
LA_E_1028287,teste
LA_E_1028349,teste
LA_E_1028405,treino
LA_E_1028427,treino
LA_E_1028428,treino
LA_E_1028459,teste
LA_E_1028490,teste
LA_E_1028586,treino
LA_E_1028587,treino
LA_E_1028591,teste
LA_E_1028592,treino
LA_E_1028601,validacao
LA_E_1028606,treino
LA_E_1028611,treino
LA_E_1028666,treino
LA_E_1028799,validacao
LA_E_1028818,treino
LA_E_1028832,validacao
LA_E_1028841,teste
LA_E_1028855,treino
LA_E_1028882,teste
LA_E_1028891,treino
LA_E_1028907,treino
LA_E_1028908,validacao
LA_E_1028945,treino
LA_E_1029038,validacao
LA_E_1029058,treino
LA_E_1029088,treino
LA_E_1029111,treino
LA_E_1029131,treino
LA_E_1029160,validacao
LA_E_1029164,teste
LA_E_1029305,treino
LA_E_1029339,treino
LA_E_1029343,treino
LA_E_1029352,treino
LA_E_1029431,treino
LA_E_1029476,treino
LA_E_1029549,treino
LA_E_1029550,treino
LA_E_1029557,treino
LA_E_1029582,treino
LA_E_1029696,validacao
LA_E_1029740,treino
LA_E_1029876,treino
LA_E_1029970,teste
LA_E_1029984,treino
LA_E_1030072,treino
LA_E_1030120,teste
LA_E_1030133,validacao
LA_E_1030139,validacao
LA_E_1030144,treino
LA_E_1030215,treino
LA_E_1030247,treino
LA_E_1030276,treino
LA_E_1030368,treino
LA_E_1030370,teste
LA_E_1030436,treino
LA_E_1030454,validacao
LA_E_1030569,treino
LA_E_1030630,treino
LA_E_1030807,treino
LA_E_1030830,teste
LA_E_1030855,treino
LA_E_1030879,treino
LA_E_1030905,validacao
LA_E_1030981,validacao
LA_E_1031014,validacao
LA_E_1031036,treino
LA_E_1031054,treino
LA_E_1031129,treino
LA_E_1031149,treino
LA_E_1031271,treino
LA_E_1031310,treino
LA_E_1031313,validacao
LA_E_1031364,treino
LA_E_1031428,treino
LA_E_1031449,teste
LA_E_1031558,treino
LA_E_1031642,teste
LA_E_1031679,validacao
LA_E_1031698,treino
LA_E_1031741,treino
LA_E_1031747,treino
LA_E_1031807,teste
LA_E_1031892,treino
LA_E_1031902,teste
LA_E_1031953,validacao
LA_E_1032039,teste
LA_E_1032157,treino
LA_E_1032202,treino
LA_E_1032299,teste
LA_E_1032300,treino
LA_E_1032320,treino
LA_E_1032337,treino
LA_E_1032349,treino
LA_E_1032358,treino
LA_E_1032377,treino
LA_E_1032480,treino
LA_E_1032530,treino
LA_E_1032638,validacao
LA_E_1032731,teste
LA_E_1032759,teste
LA_E_1032839,validacao
LA_E_1032848,treino
LA_E_1032876,treino
LA_E_1032896,treino
LA_E_1032943,treino
LA_E_1032989,teste
LA_E_1032994,treino
LA_E_1033002,treino
LA_E_1033013,treino
LA_E_1033028,validacao
LA_E_1033069,treino
LA_E_1033128,treino
LA_E_1033157,validacao
LA_E_1033172,treino
LA_E_1033216,teste
LA_E_1033221,teste
LA_E_1033231,treino
LA_E_1033255,validacao
LA_E_1033284,treino
LA_E_1033304,validacao
LA_E_1033392,validacao
LA_E_1033444,treino
LA_E_1033448,treino
LA_E_1033499,treino
LA_E_1033507,teste
LA_E_1033564,treino
LA_E_1033618,treino
LA_E_1033668,treino
LA_E_1033674,validacao
LA_E_1033722,teste
LA_E_1033756,treino
LA_E_1033913,treino
LA_E_1033920,treino
LA_E_1034016,treino
LA_E_1034017,teste
LA_E_1034128,treino
LA_E_1034132,treino
LA_E_1034155,treino
LA_E_1034241,treino
LA_E_1034283,treino
LA_E_1034369,treino
LA_E_1034377,treino
LA_E_1034394,teste
LA_E_1034397,treino
LA_E_1034467,treino
LA_E_1034511,teste
LA_E_1034517,treino
LA_E_1034537,treino
LA_E_1034623,treino
LA_E_1034665,treino
LA_E_1034672,treino
LA_E_1034682,treino
LA_E_1034688,treino
LA_E_1034763,validacao
LA_E_1034816,treino
LA_E_1034844,treino
LA_E_1034990,teste
LA_E_1035056,treino
LA_E_1035111,treino
LA_E_1035122,treino
LA_E_1035224,treino
LA_E_1035264,treino
LA_E_1035278,treino
LA_E_1035340,treino
LA_E_1035372,treino
LA_E_1035397,treino
LA_E_1035420,treino
LA_E_1035473,treino
LA_E_1035671,treino
LA_E_1035673,teste
LA_E_1035742,validacao
LA_E_1035776,treino
LA_E_1035783,treino
LA_E_1035791,treino
LA_E_1035806,treino
LA_E_1035841,treino
LA_E_1035912,treino
LA_E_1035940,treino
LA_E_1036080,treino
LA_E_1036084,treino
LA_E_1036112,treino
LA_E_1036211,validacao
LA_E_1036333,teste
LA_E_1036472,teste
LA_E_1036505,treino
LA_E_1036564,validacao
LA_E_1036605,treino
LA_E_1036704,treino
LA_E_1036713,teste
LA_E_1036749,treino
LA_E_1036753,treino
LA_E_1036755,validacao
LA_E_1036830,teste
LA_E_1036899,validacao
LA_E_1036988,treino
LA_E_1037003,treino
LA_E_1037012,validacao
LA_E_1037023,treino
LA_E_1037056,treino
LA_E_1037069,teste
LA_E_1037147,validacao
LA_E_1037150,teste
LA_E_1037202,treino
LA_E_1037223,treino
LA_E_1037364,treino
LA_E_1037380,treino
LA_E_1037438,validacao
LA_E_1037492,teste
LA_E_1037533,treino
LA_E_1037624,treino
LA_E_1037756,treino
LA_E_1037758,treino
LA_E_1037816,treino
LA_E_1037988,treino
LA_E_1038001,treino
LA_E_1038040,validacao
LA_E_1038056,treino
LA_E_1038175,treino
LA_E_1038362,treino
LA_E_1038394,validacao
LA_E_1038461,validacao
LA_E_1038483,treino
LA_E_1038664,treino
LA_E_1038679,treino
LA_E_1038687,treino
LA_E_1038754,treino
LA_E_1038846,treino
LA_E_1038882,treino
LA_E_1038913,treino
LA_E_1038940,treino
LA_E_1038945,teste
LA_E_1039199,treino
LA_E_1039224,validacao
LA_E_1039308,treino
LA_E_1039421,treino
LA_E_1039441,validacao
LA_E_1039461,teste
LA_E_1039472,treino
LA_E_1039475,treino
LA_E_1039594,treino
LA_E_1039624,teste
LA_E_1039645,treino
LA_E_1039650,treino
LA_E_1039684,treino
LA_E_1039695,teste
LA_E_1039791,treino
LA_E_1039888,treino
LA_E_1039901,treino
LA_E_1039928,treino
LA_E_1039970,treino
LA_E_1040011,teste
LA_E_1040028,treino
LA_E_1040053,validacao
LA_E_1040070,treino
LA_E_1040097,treino
LA_E_1040109,treino
LA_E_1040267,treino
LA_E_1040382,treino
LA_E_1040427,treino
LA_E_1040440,teste
LA_E_1040569,treino
LA_E_1040635,treino
LA_E_1040665,teste
LA_E_1040726,treino
LA_E_1040742,treino
LA_E_1040775,treino
LA_E_1040783,validacao
LA_E_1041017,validacao
LA_E_1041023,treino
LA_E_1041035,validacao
LA_E_1041060,treino
LA_E_1041071,validacao
LA_E_1041091,validacao
LA_E_1041202,treino
LA_E_1041207,treino
LA_E_1041219,treino
LA_E_1041263,teste
LA_E_1041307,validacao
LA_E_1041334,validacao
LA_E_1041375,validacao
LA_E_1041388,validacao
LA_E_1041421,treino
LA_E_1041424,treino
LA_E_1041446,teste
LA_E_1041460,treino
LA_E_1041488,treino
LA_E_1041599,teste
LA_E_1041645,teste
LA_E_1041672,validacao
LA_E_1041736,treino
LA_E_1041744,treino
LA_E_1041748,treino
LA_E_1041779,validacao
LA_E_1041791,treino
LA_E_1041842,treino
LA_E_1041846,validacao
LA_E_1041849,treino
LA_E_1041859,validacao
LA_E_1041874,treino
LA_E_1041875,treino
LA_E_1041942,teste
LA_E_1042005,validacao
LA_E_1042031,treino
LA_E_1042101,teste
LA_E_1042124,treino
LA_E_1042144,treino
LA_E_1042196,treino
LA_E_1042255,treino
LA_E_1042266,treino
LA_E_1042326,validacao
LA_E_1042375,treino
LA_E_1042403,treino
LA_E_1042407,treino
LA_E_1042452,treino
LA_E_1042480,treino
LA_E_1042542,treino
LA_E_1042584,teste
LA_E_1042805,treino
LA_E_1042815,treino
LA_E_1042829,validacao
LA_E_1042860,treino
LA_E_1042922,treino
LA_E_1043150,treino
LA_E_1043230,treino
LA_E_1043240,validacao
LA_E_1043329,treino
LA_E_1043528,teste
LA_E_1043569,treino
LA_E_1043634,treino
LA_E_1043665,treino
LA_E_1043737,teste
LA_E_1043759,treino
LA_E_1043761,teste
LA_E_1043772,treino
LA_E_1043803,teste
LA_E_1043908,treino
LA_E_1043910,teste
LA_E_1043956,treino
LA_E_1044022,treino
LA_E_1044101,treino
LA_E_1044155,treino
LA_E_1044207,validacao
LA_E_1044376,teste
LA_E_1044468,treino
LA_E_1044473,treino
LA_E_1044497,treino
LA_E_1044529,treino
LA_E_1044590,teste
LA_E_1044603,validacao
LA_E_1044612,treino
LA_E_1044638,teste
LA_E_1044694,treino
LA_E_1044695,treino
LA_E_1044768,teste
LA_E_1044778,validacao
LA_E_1044816,treino
LA_E_1044861,treino
LA_E_1044878,treino
LA_E_1044957,treino
LA_E_1044998,treino
LA_E_1045030,treino
LA_E_1045222,treino
LA_E_1045256,treino
LA_E_1045281,teste
LA_E_1045323,validacao
LA_E_1045377,treino
LA_E_1045414,treino
LA_E_1045473,treino
LA_E_1045481,teste
LA_E_1045533,validacao
LA_E_1045613,treino
LA_E_1045732,treino
LA_E_1045773,treino
LA_E_1045783,treino
LA_E_1045862,teste
LA_E_1045940,treino
LA_E_1045941,treino
LA_E_1045946,treino
LA_E_1045989,treino
LA_E_1046166,treino
LA_E_1046173,validacao
LA_E_1046299,validacao
LA_E_1046465,treino
LA_E_1046475,teste
LA_E_1046510,teste
LA_E_1046529,teste
LA_E_1046650,treino
LA_E_1046673,treino
LA_E_1046721,treino
LA_E_1046731,validacao
LA_E_1046742,treino
LA_E_1046822,treino
LA_E_1046908,treino
LA_E_1046909,treino
LA_E_1046993,treino
LA_E_1047123,treino
LA_E_1047155,treino
LA_E_1047184,treino
LA_E_1047335,treino
LA_E_1047337,treino
LA_E_1047440,treino
LA_E_1047441,treino
LA_E_1047455,treino
LA_E_1047499,treino
LA_E_1047551,treino
LA_E_1047554,treino
LA_E_1047611,treino
LA_E_1047700,treino
LA_E_1047745,treino
LA_E_1047775,treino
LA_E_1047823,treino
LA_E_1047827,treino
LA_E_1047838,treino
LA_E_1047845,treino
LA_E_1047865,treino
LA_E_1047901,treino
LA_E_1047917,validacao
LA_E_1048016,treino
LA_E_1048054,treino
LA_E_1048180,treino
LA_E_1048222,treino
LA_E_1048238,teste
LA_E_1048299,treino
LA_E_1048307,teste
LA_E_1048575,teste
LA_E_1048638,teste
LA_E_1048651,treino
LA_E_1048670,treino
LA_E_1048746,validacao
LA_E_1048754,treino
LA_E_1048762,treino
LA_E_1048813,validacao
LA_E_1048852,treino
LA_E_1048950,validacao
LA_E_1048959,treino
LA_E_1048962,validacao
LA_E_1048965,treino
LA_E_1049030,treino
LA_E_1049031,validacao
LA_E_1049035,validacao
LA_E_1049068,treino
LA_E_1049131,treino
LA_E_1049185,validacao
LA_E_1049218,treino
LA_E_1049245,treino
LA_E_1049250,teste
LA_E_1049308,treino
LA_E_1049355,treino
LA_E_1049373,treino
LA_E_1049460,treino
LA_E_1049491,validacao
LA_E_1049493,treino
LA_E_1049638,treino
LA_E_1049816,validacao
LA_E_1049960,validacao
LA_E_1049981,treino
LA_E_1049989,treino
LA_E_1050016,treino
LA_E_1050026,treino
LA_E_1050067,treino
LA_E_1050106,treino
LA_E_1050200,validacao
LA_E_1050298,treino
LA_E_1050305,treino
LA_E_1050351,treino
LA_E_1050382,teste
LA_E_1050408,teste
LA_E_1050488,treino
LA_E_1050550,validacao
LA_E_1050570,teste
LA_E_1050598,treino
LA_E_1050621,treino
LA_E_1050695,validacao
LA_E_1050706,treino
LA_E_1050842,treino
LA_E_1050897,treino
LA_E_1050921,treino
LA_E_1051022,teste
LA_E_1051090,treino
LA_E_1051103,treino
LA_E_1051255,treino
LA_E_1051271,treino
LA_E_1051434,treino
LA_E_1051438,teste
LA_E_1051484,treino
LA_E_1051513,treino
LA_E_1051549,treino
LA_E_1051614,treino
LA_E_1051638,treino
LA_E_1051662,treino
LA_E_1051686,treino
LA_E_1051865,treino
LA_E_1051880,teste
LA_E_1051901,treino
LA_E_1051925,treino
LA_E_1051926,validacao
LA_E_1052008,teste
LA_E_1052026,validacao
LA_E_1052095,validacao
LA_E_1052122,treino
LA_E_1052176,validacao
LA_E_1052202,treino
LA_E_1052206,treino
LA_E_1052252,treino
LA_E_1052258,treino
LA_E_1052367,treino
LA_E_1052419,treino
LA_E_1052469,validacao
LA_E_1052508,validacao
LA_E_1052579,treino
LA_E_1052602,treino
LA_E_1052644,treino
LA_E_1052671,teste
LA_E_1052697,treino
LA_E_1052731,validacao
LA_E_1052835,treino
LA_E_1052933,treino
LA_E_1052994,treino
LA_E_1053064,treino
LA_E_1053180,treino
LA_E_1053226,teste
LA_E_1053397,teste
LA_E_1053579,treino
LA_E_1053584,teste
LA_E_1053602,treino
LA_E_1053698,treino
LA_E_1053726,treino
LA_E_1053743,treino
LA_E_1053749,treino
LA_E_1053854,treino
LA_E_1053864,validacao
LA_E_1053918,teste
LA_E_1053930,treino
LA_E_1053955,teste
LA_E_1054014,treino
LA_E_1054106,treino
LA_E_1054112,treino
LA_E_1054195,treino
LA_E_1054198,treino
LA_E_1054231,validacao
LA_E_1054275,treino
LA_E_1054301,treino
LA_E_1054306,treino
LA_E_1054412,treino
LA_E_1054470,treino
LA_E_1054484,treino
LA_E_1054503,treino
LA_E_1054526,teste
LA_E_1054533,treino
LA_E_1054545,teste
LA_E_1054668,treino
LA_E_1054707,teste
LA_E_1054728,treino
LA_E_1054745,treino
LA_E_1054794,teste
LA_E_1054877,treino
LA_E_1054896,treino
LA_E_1054918,treino
LA_E_1054935,teste
LA_E_1054940,treino
LA_E_1054958,treino
LA_E_1054988,treino
LA_E_1055063,teste
LA_E_1055152,treino
LA_E_1055153,teste
LA_E_1055164,teste
LA_E_1055236,teste
LA_E_1055269,treino
LA_E_1055271,treino
LA_E_1055280,teste
LA_E_1055314,treino
LA_E_1055345,treino
LA_E_1055431,treino
LA_E_1055502,validacao
LA_E_1055611,treino
LA_E_1055618,treino
LA_E_1055651,treino
LA_E_1055759,teste
LA_E_1055782,treino
LA_E_1055816,treino
LA_E_1055849,treino
LA_E_1055878,treino
LA_E_1055988,teste
LA_E_1055989,treino
LA_E_1056164,teste
LA_E_1056193,treino
LA_E_1056268,treino
LA_E_1056291,treino
LA_E_1056389,treino
LA_E_1056393,treino
LA_E_1056461,teste
LA_E_1056581,treino
LA_E_1056609,teste
LA_E_1056618,teste
LA_E_1056635,treino
LA_E_1056668,treino
LA_E_1056763,teste
LA_E_1056790,treino
LA_E_1056906,teste
LA_E_1057015,treino
LA_E_1057055,treino
LA_E_1057066,treino
LA_E_1057072,treino
